"id","timestamp","service_name","topcve","mitigation","recommended","decision","worker_id","actioned_by","worker_loop"
1,2023-11-04 04:41:10.788,currencyservice,CVE-2015-9071,CZ066,1,1,worker-1,Main,1
2,2023-11-04 04:41:15.499,frontend,CVE-2020-3374,FN262,1,1,worker-3,Main,1
3,2023-11-04 04:42:31.804,frontend,CVE-2020-3374,FN262,1,1,worker-3,Main,2
4,2023-11-04 04:42:42.431,currencyservice,CVE-2015-9071,CZ066,1,1,worker-1,Main,2
5,2023-11-04 04:42:47.523,productcatalogservice,CVE-2017-4982,DS741,1,1,worker-2,Main,2
6,2023-11-04 04:43:43.037,frontend,CVE-2010-2251,BQ475,1,1,worker-3,Main,3
7,2023-11-04 04:45:45.859,paymentservice,CVE-2018-19708,EF674,1,1,worker-1,Main,4
8,2023-11-04 04:46:05.727,frontend,CVE-2002-0645,AE806,1,1,worker-3,Main,5
9,2023-11-04 04:47:12.510,currencyservice,CVE-2022-33171,GU577,1,1,worker-1,Main,5
10,2023-11-04 04:49:29.137,currencyservice,CVE-2005-2920,AN318,1,0,worker-1,Main,6
11,2023-11-04 04:49:29.137,paymentservice,CVE-2010-2900,BR087,1,0,worker-1,Main,6
12,2023-11-04 04:49:39.625,recommendationservice,CVE-2011-4186,BX012,1,1,worker-3,Main,8
13,2023-11-04 04:50:51.194,frontend,CVE-2018-11095,DZ077,1,1,worker-3,Main,9
14,2023-11-04 04:50:56.064,currencyservice,CVE-2005-2920,AN318,1,1,worker-1,Main,7
15,2023-11-04 04:51:27.693,cartservice,CVE-2022-2197,GO968,1,1,worker-2,Main,8
16,2023-11-04 04:52:22.854,currencyservice,CVE-2016-6112,DF794,1,1,worker-1,Main,8
17,2023-11-04 04:53:13.718,frontend,CVE-2014-8523,CQ478,1,1,worker-3,Main,11
18,2023-11-04 04:53:49.470,currencyservice,CVE-2016-6112,DF794,1,1,worker-1,Main,9
19,2023-11-04 04:54:24.946,recommendationservice,CVE-2015-1295,CS814,1,1,worker-3,Main,12
20,2023-11-04 04:55:16.004,currencyservice,CVE-2015-8368,CY478,1,1,worker-1,Main,10
21,2023-11-04 04:56:37.546,emailservice,CVE-2013-0624,CD818,1,0,worker-2,Main,11
22,2023-11-04 04:56:37.546,shippingservice,CVE-2017-3016,DR874,1,0,worker-2,Main,11
