"id","timestamp","service_name","topcve","mitigation","recommended","decision","worker_id","actioned_by","worker_loop"
1,2023-11-04 03:53:23.466,currencyservice,CVE-2015-9071,CZ066,1,1,worker-4,Main,1
2,2023-11-04 03:53:43.822,frontend,CVE-2020-3374,FN262,1,1,worker-1,Main,1
3,2023-11-04 03:54:14.314,currencyservice,CVE-2015-9071,CZ066,1,1,worker-4,Main,2
4,2023-11-04 03:54:19.250,productcatalogservice,CVE-2017-4982,DS741,1,1,worker-3,Main,2
5,2023-11-04 03:55:00.102,currencyservice,CVE-2022-33171,GU577,1,1,worker-4,Main,3
6,2023-11-04 03:55:45.890,currencyservice,CVE-2022-33171,GU577,1,1,worker-4,Main,4
7,2023-11-04 03:55:56.186,frontend,CVE-2010-2251,BQ475,1,1,worker-1,Main,3
8,2023-11-04 03:56:31.665,currencyservice,CVE-2005-2920,AN318,1,1,worker-4,Main,5
9,2023-11-04 03:57:02.374,frontend,CVE-2002-0645,AE806,1,1,worker-1,Main,4
10,2023-11-04 03:57:17.446,currencyservice,CVE-2005-2920,AN318,1,1,worker-4,Main,6
11,2023-11-04 03:58:03.223,currencyservice,CVE-2016-6112,DF794,1,1,worker-4,Main,7
12,2023-11-04 03:58:08.382,productcatalogservice,CVE-2017-7041,DU334,1,1,worker-3,Main,7
13,2023-11-04 03:58:48.994,currencyservice,CVE-2016-6112,DF794,1,1,worker-4,Main,8
14,2023-11-04 03:58:53.636,frontend,CVE-2018-11095,DZ077,1,1,worker-1,Main,5
15,2023-11-04 03:59:34.790,currencyservice,CVE-2015-8368,CY478,1,1,worker-4,Main,9
16,2023-11-04 03:59:39.992,productcatalogservice,CVE-2018-7105,EK406,1,1,worker-3,Main,9
17,2023-11-04 04:00:20.591,currencyservice,CVE-2022-30781,GT632,1,1,worker-4,Main,10
18,2023-11-04 04:00:25.774,productcatalogservice,CVE-2018-7105,EK406,1,1,worker-3,Main,10
19,2023-11-04 04:01:06.380,currencyservice,CVE-2022-30781,GT632,1,1,worker-4,Main,11
20,2023-11-04 04:01:11.592,productcatalogservice,CVE-2020-15603,FG910,1,1,worker-3,Main,11
21,2023-11-04 04:01:52.178,currencyservice,CVE-2012-3563,CA989,1,1,worker-4,Main,12
22,2023-11-04 04:01:57.399,productcatalogservice,CVE-2020-15603,FG910,1,1,worker-3,Main,12
23,2023-11-04 04:02:37.976,currencyservice,CVE-2012-3563,CA989,1,1,worker-4,Main,13
24,2023-11-04 04:02:43.223,productcatalogservice,CVE-2018-14806,EC105,1,1,worker-3,Main,13
25,2023-11-04 04:03:24.067,currencyservice,CVE-2004-1199,AJ066,1,1,worker-4,Main,14
26,2023-11-04 04:03:29.563,productcatalogservice,CVE-1999-0147,AA123,1,1,worker-3,Main,14
27,2023-11-04 04:04:09.872,currencyservice,CVE-2004-1199,AJ066,1,1,worker-4,Main,15
28,2023-11-04 04:04:15.342,productcatalogservice,CVE-1999-0147,AA123,1,1,worker-3,Main,15
29,2023-11-04 04:04:55.670,currencyservice,CVE-2021-24150,FY081,1,1,worker-4,Main,16
30,2023-11-04 04:05:01.143,productcatalogservice,CVE-2022-23901,GQ067,1,1,worker-3,Main,16
31,2023-11-04 04:05:41.448,currencyservice,CVE-2021-24150,FY081,1,1,worker-4,Main,17
32,2023-11-04 04:05:46.930,productcatalogservice,CVE-2022-23901,GQ067,1,1,worker-3,Main,17
33,2023-11-04 04:06:27.256,currencyservice,CVE-2020-25151,FK309,1,1,worker-4,Main,18
34,2023-11-04 04:06:32.703,productcatalogservice,CVE-2016-4290,DE241,1,1,worker-3,Main,18
35,2023-11-04 04:07:13.050,currencyservice,CVE-2019-14929,ER329,1,1,worker-4,Main,19
36,2023-11-04 04:07:18.495,productcatalogservice,CVE-2016-4290,DE241,1,1,worker-3,Main,19
37,2023-11-04 04:07:58.880,currencyservice,CVE-2000-0320,AB765,1,1,worker-4,Main,20
38,2023-11-04 04:08:04.294,productcatalogservice,CVE-2018-17416,EE010,1,1,worker-3,Main,20
